16.00
15.00
16.00
17.00
15.00
16.00
15.00
16.00
16.00
16.00
15.00
15.00
16.00
17.00
16.00
17.00
16.00
16.00
16.00
16.00
17.00
17.00
16.00
18.00
16.00
17.00
17.00
16.00
16.00
16.00
15.00
16.00
16.00
16.00
15.00
16.00
15.00
16.00
17.00
17.00
17.00
16.00
15.00
16.00
16.00
16.00
15.00
16.00
16.00
17.00
17.00
16.00
16.00
17.00
16.00
16.00
16.00
14.00
17.00
15.00
16.00
16.00
15.00
17.00
15.00
16.00
16.00
17.00
16.00
16.00
15.00
16.00
15.00
15.00
16.00
16.00
16.00
15.00
15.00
16.00
16.00
16.00
16.00
16.00
16.00
15.00
16.00
16.00
14.00
15.00
15.00
17.00
16.00
16.00
15.00
15.00
16.00
15.00
16.00
15.00
16.00
16.00
17.00
16.00
17.00
16.00
16.00
16.00
16.00
16.00
17.00
16.00
16.00
16.00
16.00
16.00
16.00
16.00
17.00
17.00
16.00
15.00
16.00
17.00
16.00
16.00
16.00
16.00
16.00
16.00
17.00
16.00
17.00
17.00
16.00
17.00
18.00
16.00
16.00
17.00
16.00
17.00
16.00
15.00
16.00
16.00
17.00
16.00
17.00
16.00
16.00
16.00
16.00
14.00
16.00
16.00
17.00
16.00
15.00
17.00
16.00
16.00
16.00
14.00
17.00
17.00
16.00
16.00
15.00
17.00
17.00
16.00
16.00
17.00
15.00
17.00
15.00
17.00
16.00
16.00
15.00
15.00
14.00
16.00
16.00
16.00
18.00
16.00
16.00
17.00
17.00
17.00
16.00
16.00
15.00
16.00
15.00
17.00
16.00
17.00
17.00
16.00
15.00
15.00
16.00
16.00
16.00
16.00
16.00
16.00
16.00
15.00
15.00
16.00
16.00
16.00
16.00
16.00
16.00
16.00
16.00
16.00
16.00
16.00
16.00
16.00
18.00
17.00
16.00
17.00
17.00
17.00
15.00
17.00
17.00
16.00
16.00
16.00
16.00
17.00
16.00
16.00
17.00
15.00
15.00
16.00
16.00
17.00
17.00
16.00
16.00
16.00
16.00
16.00
17.00
17.00
17.00
16.00
15.00
17.00
17.00
16.00
15.00
17.00
16.00
16.00
16.00
16.00
18.00
17.00
17.00
17.00
16.00
17.00
17.00
18.00
17.00
17.00
17.00
17.00
16.00
17.00
16.00
14.00
17.00
16.00
16.00
17.00
16.00
18.00
18.00
17.00
16.00
17.00
16.00
17.00
17.00
16.00
17.00
17.00
17.00
17.00
17.00
16.00
17.00
16.00
17.00
17.00
17.00
17.00
16.00
17.00
17.00
16.00
17.00
17.00
16.00
17.00
16.00
15.00
17.00
16.00
16.00
17.00
17.00
17.00
17.00
17.00
16.00
16.00
17.00
17.00
16.00
17.00
17.00
15.00
17.00
17.00
16.00
16.00
15.00
17.00
16.00
16.00
16.00
16.00
16.00
16.00
14.00
16.00
17.00
15.00
17.00
16.00
17.00
16.00
16.00
16.00
16.00
18.00
17.00
17.00
16.00
15.00
16.00
16.00
16.00
15.00
17.00
16.00
17.00
17.00
16.00
17.00
17.00
17.00
16.00
17.00
17.00
18.00
17.00
17.00
17.00
18.00
17.00
18.00
16.00
17.00
17.00
16.00
17.00
17.00
16.00
17.00
15.00
15.00
17.00
16.00
16.00
17.00
17.00
15.00
17.00
16.00
15.00
15.00
16.00
16.00
17.00
18.00
16.00
16.00
17.00
17.00
16.00
17.00
16.00
17.00
16.00
17.00
16.00
17.00
17.00
16.00
16.00
17.00
17.00
17.00
16.00
17.00
17.00
17.00
16.00
16.00
17.00
18.00
16.00
18.00
16.00
17.00
17.00
17.00
17.00
17.00
16.00
17.00
16.00
16.00
16.00
17.00
17.00
17.00
17.00
17.00
16.00
17.00
16.00
17.00
17.00
17.00
17.00
17.00
16.00
16.00
14.00
16.00
16.00
17.00
17.00
16.00
18.00
16.00
17.00
16.00
16.00
16.00
16.00
17.00
17.00
16.00
17.00
17.00
17.00
17.00
17.00
17.00
16.00
16.00
17.00
17.00
16.00
16.00
17.00
16.00
16.00
16.00
16.00
16.00
15.00
16.00
17.00
17.00
17.00
17.00
17.00
17.00
15.00
17.00
17.00
17.00
16.00
17.00
17.00
17.00
17.00
18.00
17.00
17.00
16.00
16.00
17.00
17.00
16.00
17.00
16.00
17.00
17.00
16.00
16.00
16.00
16.00
16.00
15.00
16.00
16.00
16.00
17.00
16.00
16.00
14.00
17.00
15.00
16.00
16.00
17.00
16.00
16.00
17.00
17.00
16.00
15.00
17.00
16.00
17.00
16.00
18.00
17.00
17.00
18.00
16.00
16.00
17.00
16.00
16.00
16.00
17.00
16.00
17.00
16.00
16.00
17.00
16.00
17.00
17.00
16.00
17.00
16.00
16.00
16.00
17.00
17.00
16.00
17.00
17.00
16.00
15.00
16.00
17.00
17.00
16.00
18.00
17.00
17.00
14.00
17.00
17.00
16.00
17.00
16.00
15.00
17.00
17.00
17.00
17.00
16.00
16.00
17.00
17.00
16.00
17.00
16.00
16.00
16.00
16.00
16.00
17.00
17.00
18.00
17.00
17.00
17.00
17.00
17.00
18.00
18.00
17.00
17.00
15.00
17.00
16.00
17.00
16.00
16.00
15.00
16.00
16.00
16.00
16.00
17.00
17.00
16.00
18.00
16.00
17.00
16.00
17.00
16.00
17.00
17.00
17.00
17.00
16.00
17.00
17.00
16.00
16.00
16.00
16.00
16.00
17.00
16.00
17.00
16.00
16.00
17.00
16.00
16.00
17.00
17.00
17.00
16.00
16.00
18.00
17.00
15.00
17.00
18.00
17.00
17.00
17.00
17.00
17.00
17.00
17.00
16.00
16.00
17.00
17.00
17.00
16.00
17.00
17.00
17.00
17.00
17.00
17.00
17.00
17.00
15.00
17.00
16.00
16.00
17.00
17.00
16.00
16.00
16.00
17.00
17.00
15.00
17.00
17.00
18.00
16.00
17.00
17.00
17.00
17.00
16.00
17.00
16.00
17.00
17.00
16.00
17.00
17.00
17.00
17.00
17.00
17.00
17.00
17.00
17.00
17.00
17.00
17.00
18.00
16.00
17.00
17.00
18.00
15.00
17.00
16.00
18.00
18.00
17.00
17.00
17.00
17.00
17.00
17.00
17.00
10.00
17.00
16.00
16.00
17.00
16.00
16.00
16.00
17.00
16.00
17.00
16.00
17.00
18.00
18.00
17.00
17.00
17.00
16.00
15.00
15.00
18.00
16.00
15.00
17.00
16.00
17.00
16.00
17.00
17.00
15.00
16.00
17.00
17.00
16.00
17.00
17.00
17.00
18.00
17.00
17.00
18.00
16.00
16.00
16.00
17.00
16.00
17.00
15.00
17.00
17.00
16.00
16.00
17.00
15.00
16.00
16.00
16.00
16.00
17.00
16.00
17.00
16.00
16.00
16.00
17.00
16.00
17.00
17.00
17.00
16.00
17.00
16.00
18.00
18.00
15.00
17.00
16.00
16.00
17.00
17.00
17.00
16.00
16.00
17.00
16.00
16.00
15.00
17.00
16.00
16.00
15.00
15.00
17.00
17.00
16.00
16.00
15.00
17.00
16.00
17.00
16.00
16.00
17.00
16.00
17.00
17.00
16.00
17.00
18.00
16.00
17.00
17.00
17.00
16.00
17.00
16.00
17.00
17.00
17.00
17.00
17.00
16.00
17.00
16.00
18.00
17.00
16.00
17.00
17.00
14.00
17.00
16.00
16.00
16.00
16.00
16.00
17.00
16.00
17.00
17.00
16.00
15.00
17.00
16.00
16.00
16.00
17.00
18.00
17.00
17.00
16.00
17.00
17.00
17.00
16.00
16.00
17.00
17.00
16.00
16.00
17.00
16.00
16.00
17.00
16.00
17.00
17.00
17.00
17.00
15.00
17.00
16.00
16.00
17.00
15.00
15.00
15.00
17.00
16.00
16.00
16.00
16.00
17.00
17.00
16.00
16.00
17.00
15.00
16.00
17.00
15.00
16.00
16.00
15.00
17.00
16.00
17.00
17.00
15.00
17.00
17.00
17.00
16.00
16.00
